Year,Neighborhood,Average_Income
2015,LITTLE NECK,79.89551805250552
2015,LONG ISLAND CITY,63.277008145373834
2015,LOWER EAST SIDE,248.60224010695978
2015,MADISON,52.00202082013591
2015,MANHATTAN BEACH,57.60591004184101
2015,MANHATTAN VALLEY,214.42281170865044
2015,MANHATTAN-UNKNOWN,251.69688342218103
2015,MARINE PARK,66.09259144183201
2015,MASPETH,53.17696744963445
2015,MELROSE/CONCOURSE,41.97142641597451
2015,MIDDLE VILLAGE,56.524139408579266
2015,MIDTOWN CBD,350.26688956428643
2015,MIDTOWN EAST,325.10162214641423
2015,MIDTOWN WEST,328.2762486887315
2015,MIDWOOD,57.57667727101007
2015,MILL BASIN,63.89502710346453
2015,MORNINGSIDE HEIGHTS,76.9624529645321
2015,MORRIS PARK/VAN NEST,45.27396680071579
2015,MORRISANIA/LONGWOOD,31.651426610331026
2015,MOTT HAVEN/PORT MORRIS,34.36037920106754
2015,MOUNT HOPE/MOUNT EDEN,28.782485789641594
2015,MURRAY HILL,280.13477433286187
2015,NAVY YARD,57.97735087475397
2015,NEPONSIT,98.02965909090909
2015,OAKLAND GARDENS,62.68166978138348
2015,OCEAN HILL,71.89736023454596
2015,OCEAN PARKWAY-NORTH,62.91664024902823
2015,OCEAN PARKWAY-SOUTH,64.0700599919333
2015,OLD MILL BASIN,46.17683914598323
2015,OZONE PARK,43.61695864016575
2015,PARK SLOPE,85.3112062893951
2015,PARK SLOPE SOUTH,69.41698224019275
2015,PARKCHESTER,54.29502479122971
2015,PELHAM BAY,38.24302575107296
2015,PELHAM GARDENS,43.83990797546012
2015,PELHAM PARKWAY NORTH,38.76256826379401
2015,PELHAM PARKWAY SOUTH,51.41648351330454
2015,PROSPECT HEIGHTS,74.263122176768
2015,QUEENS VILLAGE,45.827684813565874
2015,QUEENS-UNKNOWN,47.30384219489835
2015,RED HOOK,87.16312286316946
2015,REGO PARK,52.89241231657955
2015,RICHMOND HILL,45.632328791253805
2015,RIDGEWOOD,56.92184218835233
2015,RIVERDALE,67.14333645601371
2015,ROCKAWAY PARK,83.13219114519812
2015,ROOSEVELT ISLAND,93.69953596287704
2015,ROSEDALE,56.39798919663925
2015,SCHUYLERVILLE/PELHAM BAY,45.277089802225525
2015,SEAGATE,40.15032290114257
2015,SHEEPSHEAD BAY,57.02299018881763
2015,SO. JAMAICA-BAISLEY PARK,45.914043509106435
2015,SOHO,343.3381858043046
2015,SOUNDVIEW,31.2637805433932
2015,SOUTH JAMAICA,44.198251322066184
2015,SOUTH OZONE PARK,45.307122972348864
2015,SOUTHBRIDGE,129.52006552006551
2015,SPRING CREEK,33.89589824964569
2015,SPRINGFIELD GARDENS,43.51722554209081
2015,ST. ALBANS,47.10291096812313
2015,SUNNYSIDE,62.90893355507122
2015,SUNSET PARK,62.00187807950936
2015,THROGS NECK,39.49017934591623
2015,TRIBECA,404.53513002811405
2015,UPPER BAY,404.1032128514056
2015,UPPER EAST SIDE (59-79),360.97077817638575
2015,UPPER EAST SIDE (79-96),299.2357631210421
2015,UPPER EAST SIDE (96-110),313.15883779411814
2015,UPPER WEST SIDE (59-79),333.4106601487736
2015,UPPER WEST SIDE (79-96),311.52814758852526
2015,UPPER WEST SIDE (96-116),197.67567876827252
2015,VAN CORTLANDT PARK,91.6222392658556
2015,WAKEFIELD,38.89515861044409
2015,WASHINGTON HEIGHTS LOWER,77.53329848993917
2015,WASHINGTON HEIGHTS UPPER,170.46049185697078
2015,WESTCHESTER,64.26235031692013
2015,WHITESTONE,57.887129016037825
2015,WILLIAMSBRIDGE,36.895766446937124
2015,WILLIAMSBURG-CENTRAL,55.84095259586739
2015,WILLIAMSBURG-EAST,47.90798305375063
2015,WILLIAMSBURG-NORTH,81.94993882350337
2015,WILLIAMSBURG-SOUTH,78.44687659383156
2015,WINDSOR TERRACE,79.20172384849602
2015,WOODHAVEN,40.25130347152509
2015,WOODLAWN,50.06253263707572
2015,WOODSIDE,53.327869885371406
2015,WYCKOFF HEIGHTS,36.249836201174965
2016,1021,256.5264635124298
2016,1026,259.14814814814815
2016,3004,43.0703622124327
2016,3019,89.12811893988365
2016,AIRPORT JFK,47.04651126324499
2016,AIRPORT LA GUARDIA,45.44512471655329
2016,ALPHABET CITY,181.39566051568087
2016,ARVERNE,43.67718046703015
2016,ASTORIA,69.57255078835372
2016,BATH BEACH,62.59339461837918
2016,BATHGATE,27.902266165720466
2016,BAY RIDGE,73.24394012849172
2016,BAYCHESTER,37.72655368197552
2016,BAYSIDE,60.677127226911175
2016,BEDFORD PARK/NORWOOD,37.96563064732728
2016,BEDFORD STUYVESANT,54.16598668123209
2016,BEECHHURST,63.40065131081212
2016,BELLE HARBOR,59.564052605643774
2016,BELLEROSE,61.233686569482316
2016,BELMONT,34.03717047676593
2016,BENSONHURST,53.72235784834485
2016,BERGEN BEACH,59.51398521707546
2016,BOERUM HILL,123.55822460159636
2016,BOROUGH PARK,55.15812760267735
2016,BREEZY POINT,99.1420814479638
2016,BRIARWOOD,49.42322252080638
2016,BRIGHTON BEACH,59.21987225160974
2016,BROAD CHANNEL,49.839100346020764
2016,BRONX PARK,33.01857841898642
2016,BRONX-UNKNOWN,30.652044297715317
2016,BRONXDALE,42.26765497724116
2016,BROOKLYN HEIGHTS,107.28146255784772
2016,BROOKLYN-UNKNOWN,67.36550405480013
2016,BROWNSVILLE,50.70891054181439
2016,BUSH TERMINAL,51.147284638157274
2016,BUSHWICK,61.973608917325684
2016,CAMBRIA HEIGHTS,43.24502852803984
2016,CANARSIE,45.701410699329145
2016,CARROLL GARDENS,116.18404643382557
2016,CASTLE HILL/UNIONPORT,33.9720033436393
2016,CHELSEA,299.65326298751796
2016,CHINATOWN,226.31512505687314
2016,CITY ISLAND,58.73597229191039
2016,CITY ISLAND-PELHAM STRIP,163.02547657450077
2016,CIVIC CENTER,360.01254456569177
2016,CLINTON,399.82694530561764
2016,CLINTON HILL,72.29922422031731
2016,CO-OP CITY,47.12334357174199
2016,COBBLE HILL,166.43352277050275
2016,COBBLE HILL-WEST,128.3141272192584
2016,COLLEGE POINT,57.84372547116529
2016,CONEY ISLAND,49.018740335610914
2016,CORONA,58.17390406775413
2016,COUNTRY CLUB,55.60204218318362
2016,CROTONA PARK,30.475231744005555
2016,CROWN HEIGHTS,60.50282901322927
2016,CYPRESS HILLS,77.8444852615752
2016,DOUGLASTON,78.66572345943726
2016,DOWNTOWN-FULTON FERRY,194.06146387238036
2016,DOWNTOWN-FULTON MALL,158.64295242500972
2016,DOWNTOWN-METROTECH,133.811497865471
2016,DYKER HEIGHTS,56.047158771344456
2016,EAST ELMHURST,54.243303400209285
2016,EAST NEW YORK,51.28880495541649
2016,EAST RIVER,53.115887231373094
2016,EAST TREMONT,27.364390632189785
2016,EAST VILLAGE,216.810018006335
2016,ELMHURST,50.33502098431571
2016,FAR ROCKAWAY,43.67718046703015
2016,FASHION,250.62665619713724
2016,FIELDSTON,74.04146538586332
2016,FINANCIAL,307.32065474429294
2016,FLATBUSH-CENTRAL,63.259167604146555
2016,FLATBUSH-EAST,52.92448923376032
2016,FLATBUSH-LEFFERTS GARDEN,46.353425315513284
2016,FLATBUSH-NORTH,44.16081296922756
2016,FLATIRON,313.98642778739577
2016,FLATLANDS,48.124508058546304
2016,FLORAL PARK,74.70229246457077
2016,FLUSHING MEADOW PARK,61.70387635560761
2016,FLUSHING-NORTH,60.373721616336304
2016,FLUSHING-SOUTH,61.36282748163747
2016,FORDHAM,27.707971040219178
